"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_HE_COVID","41",0.000571132443014891,0.000901864730884009,0.440677966101695,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","42",0.000672237669649105,0.00102160113870167,0.457627118644068,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","44",0.000938508127681676,0.00153975976737072,0.510204081632653,0.979591836734694,52
"CFA_Pyrenew-Pyrenew_HE_COVID","45",0.00117594476505901,0.0017906591516626,0.403508771929825,0.87719298245614,60
"CFA_Pyrenew-Pyrenew_HE_COVID","46",0.00151808419465541,0.00225131960383945,0.473684210526316,0.859649122807018,60
"CFA_Pyrenew-Pyrenew_HE_COVID","47",0.000920460680342307,0.00141924605982841,0.389830508474576,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_HE_COVID","48",0.000875972056932864,0.00127043933744817,0.491525423728814,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","49",0.00097434981178278,0.00159429467727903,0.444444444444444,1,48
"CFA_Pyrenew-Pyrenew_HE_COVID","51",0.000810826023319313,0.00126391525379615,0.474576271186441,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_HE_COVID","50",0.00123559486166372,0.00192345614064956,0.457627118644068,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","53",0.000555964607576955,0.000844412339775208,0.593220338983051,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","55",0.000754963946932328,0.00114710323602964,0.593220338983051,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","54",0.00152801694088962,0.00237331485262542,0.474576271186441,0.966101694915254,62
"CMU-TimeSeries","02",0.00119434432642562,0.00182976465186351,0.456140350877193,0.929824561403509,124
"CMU-TimeSeries","01",0.00232704632763464,0.00362198429120699,0.210526315789474,0.859649122807018,124
"CMU-TimeSeries","05",0.00165382489863166,0.00260855648587854,0.350877192982456,0.850877192982456,124
"CMU-TimeSeries","04",0.00132278585890514,0.00207301762225064,0.429824561403509,0.93859649122807,124
"CMU-TimeSeries","06",0.00131505259586364,0.00218609800062731,0.543859649122807,0.973684210526316,124
"CMU-TimeSeries","08",0.00116687240828784,0.00193799737726467,0.385964912280702,0.947368421052632,124
"CMU-TimeSeries","09",0.00138809066249093,0.00228959665213832,0.527272727272727,0.945454545454545,120
"CMU-TimeSeries","11",0.00195317575517907,0.00287924519348768,0.254385964912281,0.754385964912281,124
"CMU-TimeSeries","10",0.00175118058931084,0.00266567094936529,0.37719298245614,0.850877192982456,124
"CMU-TimeSeries","12",0.00197037593548172,0.00305493387185288,0.473684210526316,0.912280701754386,124
"CMU-TimeSeries","13",0.00175899977218157,0.00271395485170302,0.350877192982456,0.850877192982456,124
"CMU-TimeSeries","15",0.00330339926934352,0.00474749586752629,0.289473684210526,0.710526315789474,124
"CMU-TimeSeries","19",0.00217809395096528,0.00331754774635791,0.403508771929825,0.859649122807018,124
"CMU-TimeSeries","16",0.00134645033683074,0.00217616522049518,0.359649122807018,0.894736842105263,124
"CMU-TimeSeries","17",0.00201274728571018,0.00301466180785479,0.429824561403509,0.833333333333333,124
"CMU-TimeSeries","18",0.00184131730385846,0.00298450309220647,0.368421052631579,0.93859649122807,124
"CMU-TimeSeries","20",0.00136057696678579,0.00214761312533962,0.482456140350877,0.894736842105263,124
"CMU-TimeSeries","21",0.00188747833988873,0.0029936232704266,0.412280701754386,0.833333333333333,124
"CMU-TimeSeries","22",0.00267805553413515,0.00404494690777128,0.37719298245614,0.903508771929825,124
"CMU-TimeSeries","25",0.0013525175693438,0.00214742442102207,0.5,0.929824561403509,124
"CMU-TimeSeries","24",0.00138552582531814,0.00225646064409997,0.464912280701754,0.956140350877193,124
"CMU-TimeSeries","23",0.00179457774175845,0.00261065992554924,0.412280701754386,0.868421052631579,124
"CMU-TimeSeries","26",0.00172099548856541,0.00269438485037299,0.456140350877193,0.903508771929825,124
"CMU-TimeSeries","27",0.00121699681492165,0.00193890448376658,0.508771929824561,0.964912280701754,124
"CMU-TimeSeries","28",0.00248689834618455,0.00392877872844598,0.280701754385965,0.789473684210526,124
"CMU-TimeSeries","30",0.00129040365954024,0.00200492089737388,0.385964912280702,0.87719298245614,124
"CMU-TimeSeries","37",0.00222924354952147,0.00357900014495299,0.350877192982456,0.850877192982456,124
"CMU-TimeSeries","38",0.00155097331843471,0.0024381782596706,0.37719298245614,0.903508771929825,124
"CMU-TimeSeries","31",0.00144622625513333,0.00225293851298431,0.464912280701754,0.921052631578947,124
"CMU-TimeSeries","33",0.00123407680184168,0.00199349134743252,0.464912280701754,0.947368421052632,124
"CMU-TimeSeries","34",0.000977702347169676,0.00152017197091987,0.614035087719298,0.973684210526316,124
"CMU-TimeSeries","35",0.00198504711458166,0.00314330823854246,0.421052631578947,0.842105263157895,124
"CMU-TimeSeries","32",0.00138625474674868,0.00206894825112168,0.333333333333333,0.798245614035088,124
"CMU-TimeSeries","36",0.000752940558585974,0.00118352577763403,0.56140350877193,0.991228070175439,124
"CMU-TimeSeries","39",0.00166919017053386,0.00270330547401528,0.456140350877193,0.903508771929825,124
"CMU-TimeSeries","40",0.00131954201824877,0.00201259045513891,0.56140350877193,0.87719298245614,124
"CMU-TimeSeries","41",0.000999024214209402,0.00157203748224459,0.456140350877193,0.947368421052632,124
"CMU-TimeSeries","42",0.00126509899881418,0.00206010413432067,0.412280701754386,0.912280701754386,124
"CMU-TimeSeries","44",0.00146593785912869,0.00228871098198732,0.385964912280702,0.894736842105263,124
"CMU-TimeSeries","45",0.00247721691573466,0.0038602750102921,0.342105263157895,0.833333333333333,124
"CMU-TimeSeries","46",0.00238047547107112,0.00344085662349466,0.37719298245614,0.833333333333333,124
"CMU-TimeSeries","47",0.0015090185220962,0.00246626314206624,0.359649122807018,0.903508771929825,124
"CMU-TimeSeries","48",0.00254661093248661,0.0038711628630635,0.464912280701754,0.87719298245614,124
"CMU-TimeSeries","49",0.00155978294958481,0.00242826743584511,0.37719298245614,0.885964912280702,124
"CMU-TimeSeries","51",0.00177992379003306,0.0028673591661541,0.456140350877193,0.921052631578947,124
"CMU-TimeSeries","50",0.00146699281401357,0.00234578308877278,0.359649122807018,0.894736842105263,124
"CMU-TimeSeries","53",0.00111933989317455,0.00174392590187859,0.535087719298246,0.929824561403509,124
"CMU-TimeSeries","55",0.00156986803963951,0.00239883178698612,0.508771929824561,0.903508771929825,124
"CMU-TimeSeries","54",0.00292915805036302,0.00450549514856544,0.324561403508772,0.87719298245614,124
"CMU-TimeSeries","56",0.00575115407441847,0.00735472297817718,0,0.0769230769230769,52
"CovidHub-baseline","01",0.00196538181883935,0.00314090909090909,0.6,0.972727272727273,120
"CovidHub-baseline","02",0.00116927755104278,0.00163727272727273,0.781818181818182,1,120
"CovidHub-baseline","04",0.0011077777675275,0.00162363636363636,0.754545454545455,1,120
"CovidHub-baseline","05",0.00160679448118977,0.00258,0.590909090909091,1,120
"CovidHub-baseline","06",0.00164079073029954,0.00229181818181818,0.6,0.9,120
"CovidHub-baseline","08",0.00104827462562311,0.00167272727272727,0.554545454545455,1,120
"CovidHub-baseline","09",0.00149556088371672,0.00241090909090909,0.536363636363636,1,120
"CovidHub-baseline","10",0.00154067945376201,0.00243818181818182,0.563636363636364,1,120
"CovidHub-baseline","11",0.00164440130941246,0.00271909090909091,0.545454545454545,0.981818181818182,120
"CovidHub-baseline","12",0.00226964267558723,0.00326,0.554545454545455,0.954545454545455,120
"CovidHub-baseline","13",0.00161240823173447,0.00238181818181818,0.618181818181818,0.945454545454545,120
"CovidHub-baseline","15",0.00307379435549282,0.00431454545454545,0.627272727272727,0.836363636363636,120
"CovidHub-baseline","16",0.00128810118589004,0.00188727272727273,0.681818181818182,0.972727272727273,120
"CovidHub-baseline","17",0.0020252331478095,0.00313181818181818,0.418181818181818,0.927272727272727,120
"CovidHub-baseline","18",0.0018410800468325,0.00302545454545455,0.436363636363636,0.963636363636364,120
"CovidHub-baseline","19",0.00212071549524108,0.00339181818181818,0.463636363636364,0.927272727272727,120
"CovidHub-baseline","20",0.00144325369006251,0.00234,0.518181818181818,0.972727272727273,120
"CovidHub-baseline","21",0.00182058781096643,0.00302363636363636,0.518181818181818,1,120
"CovidHub-baseline","22",0.00258743420442614,0.00368363636363636,0.590909090909091,0.909090909090909,120
"CovidHub-baseline","23",0.00172014065816625,0.00259363636363636,0.672727272727273,0.945454545454545,120
"CovidHub-baseline","24",0.00136941853805502,0.00222272727272727,0.590909090909091,1,120
"CovidHub-baseline","25",0.00137767876694146,0.00224636363636364,0.545454545454545,1,120
"CovidHub-baseline","26",0.0019278921261846,0.00305090905681784,0.436363636363636,0.927272727272727,120
"CovidHub-baseline","27",0.0012871956760885,0.00206,0.609090909090909,1,120
"CovidHub-baseline","28",0.0020608283754114,0.00316181818181818,0.618181818181818,0.954545454545455,120
"CovidHub-baseline","30",0.00119407340319314,0.00183545454545455,0.6,1,120
"CovidHub-baseline","31",0.00135884526847249,0.00213636363636364,0.572727272727273,0.954545454545455,120
"CovidHub-baseline","32",0.00135444618159213,0.00193818181818182,0.627272727272727,0.890909090909091,120
"CovidHub-baseline","33",0.00137321442318605,0.00211909090909091,0.718181818181818,1,120
"CovidHub-baseline","34",0.00104260014220257,0.00158909090909091,0.690909090909091,1,120
"CovidHub-baseline","35",0.00179740609113664,0.00288545454545455,0.627272727272727,0.990909090909091,120
"CovidHub-baseline","36",0.000826955438151753,0.0013,0.572727272727273,1,120
